iter,R,split,G_rows,C_rows,tG_ms,tC_ms,wall_ms,Lprev,Lcurr
0,2.333333,0.700000,11469,4915,38.321377,22.941505,26.948176,0.030612,0.000000
1,2.333333,0.700000,11469,4915,36.993473,26.108654,26.254224,0.000000,0.291667
2,2.222299,0.689663,11299,5085,27.588545,26.408284,26.474610,0.291667,0.156250
3,2.116548,0.679132,11127,5257,27.475552,26.797942,26.929164,0.156250,0.063158
4,2.015830,0.668416,10951,5433,27.197569,26.296432,26.438642,0.063158,0.041667
5,1.919904,0.657523,10773,5611,22.887264,27.642953,27.803222,0.041667,0.031579
6,1.828543,0.646461,10592,5792,22.525375,26.078990,26.244122,0.031579,0.126316
7,1.754676,0.636981,10436,5948,22.186720,30.352231,30.426034,0.126316,0.031579
8,1.671177,0.625633,10250,6134,21.678047,27.654495,27.785910,0.031579,0.041237
9,1.671177,0.625633,10250,6134,21.727680,29.681610,29.818540,0.041237,0.041237
10,1.671177,0.625633,10250,6134,21.759424,30.510558,30.579689,0.041237,0.031250
11,1.671177,0.625633,10250,6134,21.715679,29.932429,30.170533,0.031250,0.041667
12,1.726211,0.633190,10374,6010,22.128288,28.662965,28.803382,0.041667,0.041667
13,1.800127,0.642873,10533,5851,22.297472,27.745600,27.889100,0.041667,0.031579
14,1.877208,0.652441,10690,5694,22.819136,26.020568,26.218757,0.031579,0.041237
15,1.957590,0.661887,10844,5540,23.034880,26.172261,26.238160,0.041237,0.031250
16,2.041414,0.671206,10997,5387,23.242687,24.879244,25.023715,0.031250,0.031250
17,2.128828,0.680391,11148,5236,23.584320,27.970541,28.115300,0.031250,0.041237
18,2.219984,0.689439,11296,5088,23.960384,23.990946,24.125817,0.041237,0.031250
19,2.315044,0.698345,11442,4942,24.214815,23.830731,23.962167,0.031250,0.031250
20,2.397135,0.705634,11561,4823,24.333088,22.825344,22.898209,0.031250,0.061224
21,2.397135,0.705634,11561,4823,24.463615,22.773034,22.920652,0.061224,0.031579
22,2.397135,0.705634,11561,4823,24.424704,24.532467,24.602633,0.031579,0.041237
23,2.397135,0.705634,11561,4823,24.455776,23.105262,23.174266,0.041237,0.061856
24,2.397135,0.705634,11561,4823,20.292864,23.819744,23.949932,0.061856,0.041237
25,2.397135,0.705634,11561,4823,20.277664,23.413660,23.553907,0.041237,0.041667
26,2.397135,0.705634,11561,4823,19.894432,21.931937,22.061059,0.041667,0.031250
27,2.397135,0.705634,11561,4823,19.882145,23.439132,23.495453,0.031250,0.031250
28,2.397135,0.705634,11561,4823,19.919935,23.617054,23.759285,0.031250,0.042105
29,2.397135,0.705634,11561,4823,19.898592,22.480402,22.613076,0.042105,0.031579
30,2.465948,0.711479,11657,4727,20.574495,21.464850,21.542408,0.031579,0.041237
31,2.547914,0.718144,11766,4618,20.285536,23.395260,23.542739,0.041237,0.031579
32,2.547914,0.718144,11766,4618,20.315041,22.793195,22.871254,0.031579,0.041237
33,2.631262,0.724614,11872,4512,20.810368,23.043619,23.108547,0.041237,0.031250
34,2.710731,0.730511,11969,4415,20.623487,19.403558,22.913036,0.031250,0.041667
35,2.801491,0.736945,12074,4310,21.122305,19.792800,19.860033,0.041667,0.031579
36,2.801491,0.736945,12074,4310,20.772863,22.560062,22.633865,0.031579,0.031579
37,2.801491,0.736945,12074,4310,21.121183,22.166404,22.230490,0.031579,0.031579
38,2.801491,0.736945,12074,4310,20.768736,21.927234,22.122276,0.031579,0.031579
39,2.801491,0.736945,12074,4310,20.732512,21.667252,21.744949,0.031579,0.041237
40,2.801491,0.736945,12074,4310,20.774496,20.611166,20.775018,0.041237,0.031579
41,2.801491,0.736945,12074,4310,20.734432,21.232314,21.302182,0.031579,0.031579
42,2.801491,0.736945,12074,4310,21.149824,23.045262,23.180367,0.031579,0.060606
43,2.801491,0.736945,12074,4310,20.723583,20.174180,20.241807,0.060606,0.041667
44,2.801491,0.736945,12074,4310,21.112991,20.944823,21.008077,0.041667,0.052083
45,2.801491,0.736945,12074,4310,20.725151,22.221786,22.293360,0.052083,0.041667
46,2.801491,0.736945,12074,4310,21.102144,22.074766,22.155748,0.041667,0.041667
47,2.801491,0.736945,12074,4310,21.119583,19.793792,19.858977,0.041667,0.031250
48,2.801491,0.736945,12074,4310,20.729792,21.324529,21.399345,0.031250,0.041237
49,2.801491,0.736945,12074,4310,21.115648,20.046371,20.124452,0.041237,0.031250
50,2.801491,0.736945,12074,4310,21.142656,23.016504,23.225050,0.031250,0.031250
51,2.801491,0.736945,12074,4310,21.077345,21.601993,21.669812,0.031250,0.031250
52,2.801491,0.736945,12074,4310,20.729759,19.417969,19.620446,0.031250,0.031579
53,2.801491,0.736945,12074,4310,20.743904,20.410236,20.547901,0.031579,0.041237
54,2.801491,0.736945,12074,4310,20.746113,19.900961,19.983266,0.041237,0.031250
55,2.801491,0.736945,12074,4310,21.116833,22.734389,22.875500,0.031250,0.041667
56,2.801491,0.736945,12074,4310,20.746401,21.449010,21.524243,0.041667,0.041237
57,2.801491,0.736945,12074,4310,20.729471,20.752117,20.824299,0.041237,0.031250
58,2.801491,0.736945,12074,4310,20.716608,22.244965,22.373127,0.031250,0.031250
59,2.801491,0.736945,12074,4310,20.718081,22.168975,22.309670,0.031250,0.052632
60,2.801491,0.736945,12074,4310,21.087521,20.594611,20.675039,0.052632,0.041667
61,2.801491,0.736945,12074,4310,21.094175,22.060611,22.189178,0.041667,0.031579
62,2.801491,0.736945,12074,4310,21.064735,25.145103,25.215259,0.031579,0.031579
63,2.801491,0.736945,12074,4310,21.101568,22.425522,22.567828,0.031579,0.041237
64,2.801491,0.736945,12074,4310,21.125471,21.156900,21.303440,0.041237,0.041237
65,2.801491,0.736945,12074,4310,21.101376,19.891265,19.965559,0.041237,0.031579
66,2.801491,0.736945,12074,4310,21.100927,24.121828,24.200293,0.031579,0.041667
67,2.801491,0.736945,12074,4310,21.079456,22.108057,22.168069,0.041667,0.041667
68,2.801491,0.736945,12074,4310,21.098112,23.144986,23.224496,0.041667,0.041667
69,2.801491,0.736945,12074,4310,21.120289,19.997037,20.169647,0.041667,0.031250
70,2.801491,0.736945,12074,4310,20.765087,21.350929,21.479528,0.031250,0.041667
71,2.801491,0.736945,12074,4310,20.715616,21.679999,21.811275,0.041667,0.041667
72,2.801491,0.736945,12074,4310,20.759457,23.141732,23.216656,0.041667,0.041237
73,2.801491,0.736945,12074,4310,20.754017,20.988546,21.135791,0.041237,0.031579
74,2.801491,0.736945,12074,4310,20.736864,21.699551,21.837761,0.031579,0.031579
75,2.801491,0.736945,12074,4310,20.736095,21.845708,21.918167,0.031579,0.041667
76,2.801491,0.736945,12074,4310,21.117504,20.701034,20.828822,0.041667,0.031250
77,2.801491,0.736945,12074,4310,20.768353,20.820470,20.891991,0.031250,0.103093
78,2.882561,0.742438,12164,4220,21.053663,20.743733,20.887415,0.103093,0.041237
79,2.882561,0.742438,12164,4220,21.366943,23.465021,23.534409,0.041237,0.031579
80,2.882561,0.742438,12164,4220,21.405825,21.335238,21.398898,0.031579,0.031579
81,2.882561,0.742438,12164,4220,21.005440,19.650697,19.721898,0.031579,0.041667
82,2.882561,0.742438,12164,4220,21.389856,20.987885,21.112249,0.041667,0.051546
83,2.882561,0.742438,12164,4220,21.425184,20.864833,21.100420,0.051546,0.051546
84,2.882561,0.742438,12164,4220,21.379681,20.015085,20.093316,0.051546,0.031250
