iter,R,split,G_rows,C_rows,tG_ms,tC_ms,wall_ms,Lprev,Lcurr
0,2.333333,0.700000,11469,4915,27.558018,23.971550,29.300783,0.030928,0.000000
1,2.333333,0.700000,11469,4915,25.004416,25.685157,27.974379,0.000000,0.020619
2,2.222299,0.689663,11299,5085,23.415520,23.594023,25.564927,0.020619,0.000000
3,2.116548,0.679132,11127,5257,19.060928,24.837783,26.952897,0.000000,0.000000
4,2.015830,0.668416,10951,5433,19.254112,26.244562,28.498657,0.000000,0.010417
5,1.919904,0.657523,10773,5611,18.989088,26.906788,28.276361,0.010417,0.072165
6,1.876856,0.652398,10689,5695,18.832993,25.625467,27.830161,0.072165,0.010417
7,1.876856,0.652398,10689,5695,18.277184,26.739466,27.945727,0.010417,0.063158
8,1.957223,0.661845,10844,5540,19.157087,26.941211,28.497609,0.263158,0.026316
9,2.000060,0.666673,10923,5461,19.221600,25.258719,27.680944,0.126316,0.062500
10,2.056303,0.672807,11023,5361,19.048672,25.731804,26.865239,0.062500,0.000000
11,2.115334,0.679007,11125,5259,19.179840,25.781177,27.170643,0.000000,0.000000
12,2.201255,0.687622,11266,5118,19.867519,24.468991,26.670998,0.000000,0.010417
13,2.295512,0.696557,11412,4972,20.084480,25.394597,25.576352,0.010417,0.010309
14,2.393806,0.705346,11556,4828,20.301121,24.264758,24.412171,0.010309,0.000000
15,2.496309,0.713984,11698,4686,20.554943,21.887032,23.718957,0.000000,0.000000
16,2.603201,0.722469,11837,4547,20.715649,19.731055,23.339487,0.000000,0.000000
17,2.714670,0.730797,11973,4411,20.653503,21.938275,23.860930,0.000000,0.000000
18,2.825912,0.738624,12102,4282,21.255264,20.342535,23.394553,0.000000,0.000000
19,2.929403,0.745508,12214,4170,21.381439,20.417735,22.277189,0.000000,0.000000
20,3.008611,0.750537,12297,4087,21.200577,22.942268,24.858946,0.000000,0.000000
21,3.008611,0.750537,12297,4087,21.544737,20.922516,24.051046,0.000000,0.020833
22,3.008611,0.750537,12297,4087,21.185823,20.489992,22.206445,0.020833,0.010417
23,3.008611,0.750537,12297,4087,21.586208,19.161027,20.874820,0.010417,0.010417
24,3.008611,0.750537,12297,4087,21.230335,20.031057,21.711383,0.010417,0.010417
25,3.008611,0.750537,12297,4087,21.224577,20.602697,22.329733,0.010417,0.010417
26,3.008611,0.750537,12297,4087,21.204449,19.114339,20.722087,0.010417,0.010417
27,3.008611,0.750537,12297,4087,21.565569,19.416580,21.510934,0.010417,0.000000
28,3.008611,0.750537,12297,4087,21.577057,20.654100,22.510920,0.000000,0.010309
29,3.008611,0.750537,12297,4087,21.546911,21.584941,23.529373,0.010309,0.010417
30,3.008611,0.750537,12297,4087,21.170719,20.538281,22.255843,0.010417,0.010417
31,3.008611,0.750537,12297,4087,21.500641,18.934840,23.303385,0.010417,0.000000
32,3.008611,0.750537,12297,4087,21.167553,18.274987,24.681816,0.000000,0.010417
33,3.008611,0.750537,12297,4087,21.172865,18.637228,25.181648,0.010417,0.010417
34,3.008611,0.750537,12297,4087,21.565344,20.447998,22.244347,0.010417,0.010417
35,3.008611,0.750537,12297,4087,21.606400,20.506025,22.279230,0.010417,0.000000
36,3.008611,0.750537,12297,4087,21.567616,19.334586,20.961348,0.000000,0.010417
37,3.008611,0.750537,12297,4087,21.565825,19.967623,21.876512,0.010417,0.010417
