iter,R,split,G_rows,C_rows,tG_ms,tC_ms,wall_ms,Lprev,Lcurr
0,2.333333,0.700000,2867,1229,10.200512,9.006235,10.053527,0.020619,0.010417
1,2.333333,0.700000,2867,1229,9.397984,8.891852,10.410178,0.010417,0.010309
2,2.242287,0.691576,2833,1263,9.389824,9.215633,10.775460,0.010309,0.010417
3,2.164543,0.683999,2802,1294,9.217280,9.343827,10.922456,0.010417,0.000000
4,2.164543,0.683999,2802,1294,9.220128,8.978497,11.116424,0.000000,0.030928
5,2.164543,0.683999,2802,1294,9.217728,9.229611,11.756061,0.030928,0.000000
6,2.164543,0.683999,2802,1294,9.215904,9.843149,11.596215,0.000000,0.000000
7,2.164543,0.683999,2802,1294,9.217920,9.636042,12.531699,0.000000,0.000000
8,2.164543,0.683999,2802,1294,9.217408,9.839079,11.414038,0.000000,0.060833
9,2.257228,0.692991,2838,1258,9.387904,9.251102,10.724366,0.270833,0.055876
10,2.342147,0.700791,2870,1226,9.398272,8.946791,12.386443,0.195876,0.034021
11,2.342147,0.700791,2870,1226,9.396160,8.389074,11.201227,0.134021,0.014167
12,2.342147,0.700791,2870,1226,9.397504,9.653715,12.464372,0.104167,0.031579
13,2.277981,0.694934,2846,1250,9.394240,7.582381,12.160944,0.031579,0.010417
14,2.173367,0.684877,2805,1291,9.220448,8.479917,9.934141,0.010417,0.010417
15,2.069945,0.674261,2762,1334,9.211968,9.223083,11.730492,0.010417,0.031250
16,1.990487,0.665606,2726,1370,9.035168,9.231454,11.219539,0.031250,0.000000
17,1.911867,0.656578,2689,1407,9.019232,10.100318,11.919721,0.000000,0.010417
18,1.911867,0.656578,2689,1407,9.025952,10.175501,12.726217,0.010417,0.020619
19,1.911867,0.656578,2689,1407,9.025632,10.159775,11.858588,0.020619,0.000000
20,1.911867,0.656578,2689,1407,9.021408,10.234451,11.936781,0.000000,0.010309
21,1.911867,0.656578,2689,1407,9.023520,10.111108,11.708147,0.010309,0.000000
22,1.911867,0.656578,2689,1407,9.024160,10.277498,12.063978,0.000000,0.010417
23,1.911867,0.656578,2689,1407,9.019168,10.223097,11.861855,0.010417,0.000000
24,1.911867,0.656578,2689,1407,9.021472,10.129234,11.728225,0.000000,0.010526
25,1.911867,0.656578,2689,1407,9.026496,10.154130,11.779363,0.010526,0.010309
26,1.911867,0.656578,2689,1407,9.023392,10.117355,11.738162,0.010309,0.000000
27,1.911867,0.656578,2689,1407,9.023200,10.164357,11.802121,0.000000,0.031250
28,1.911867,0.656578,2689,1407,9.025216,10.509629,12.188394,0.031250,0.000000
29,1.911867,0.656578,2689,1407,9.026624,10.391970,12.142805,0.000000,0.010417
30,1.974097,0.663763,2719,1377,9.024352,9.405677,11.692205,0.010417,0.010417
31,2.042574,0.671331,2750,1346,9.039584,9.548105,11.317178,0.010417,0.010417
32,2.104557,0.677893,2777,1319,9.208384,9.322962,11.785752,0.010417,0.000000
33,2.104557,0.677893,2777,1319,9.209472,9.259180,10.743282,0.000000,0.020408
34,2.104557,0.677893,2777,1319,9.211264,9.243256,10.734847,0.020408,0.094737
35,2.194675,0.686979,2814,1282,9.218688,10.013163,12.861873,0.094737,0.010309
36,2.194675,0.686979,2814,1282,9.216896,9.561635,11.105134,0.010309,0.082474
37,2.283794,0.695474,2849,1247,9.395040,8.942964,10.755529,0.082474,0.000000
38,2.283794,0.695474,2849,1247,9.392704,9.191198,10.675377,0.000000,0.000000
39,2.283794,0.695474,2849,1247,9.393888,10.135608,11.763730,0.000000,0.010309
40,2.283794,0.695474,2849,1247,9.396704,8.919450,10.534946,0.010309,0.010417
41,2.283794,0.695474,2849,1247,9.396704,8.547246,11.146129,0.010417,0.000000
42,2.283794,0.695474,2849,1247,9.396544,8.225193,9.641974,0.000000,0.000000
43,2.283794,0.695474,2849,1247,9.395488,9.011099,10.754601,0.000000,0.000000
44,2.283794,0.695474,2849,1247,9.395424,10.473334,12.872283,0.000000,0.010309
45,2.283794,0.695474,2849,1247,9.393760,7.362410,12.956733,0.010309,0.000000
46,2.283794,0.695474,2849,1247,9.397568,8.955534,10.387082,0.000000,0.010309
47,2.206224,0.688107,2818,1278,9.385088,9.193962,11.345912,0.010309,0.010309
48,2.140153,0.681544,2792,1304,9.216352,9.188509,11.566185,0.010309,0.000000
49,2.140153,0.681544,2792,1304,9.216000,7.700718,11.021935,0.000000,0.000000
50,2.140153,0.681544,2792,1304,9.214560,9.275435,10.772677,0.000000,0.030303
51,2.140153,0.681544,2792,1304,9.216384,9.207326,11.794275,0.030303,0.000000
52,2.140153,0.681544,2792,1304,9.220416,9.267999,10.754660,0.000000,0.000000
53,2.140153,0.681544,2792,1304,9.217888,10.535640,12.219836,0.000000,0.010309
54,2.140153,0.681544,2792,1304,9.217888,10.403876,12.284461,0.010309,0.010309
55,2.140153,0.681544,2792,1304,9.216768,8.710474,11.348885,0.010309,0.010309
56,2.140153,0.681544,2792,1304,9.217408,9.212600,11.459154,0.010309,0.010309
57,2.140153,0.681544,2792,1304,9.215680,9.323346,11.283704,0.010309,0.000000
58,2.140153,0.681544,2792,1304,9.216160,8.534651,10.010553,0.000000,0.010309
59,2.140153,0.681544,2792,1304,9.219168,9.274552,10.768158,0.010309,0.010309
60,2.140153,0.681544,2792,1304,9.214080,10.942404,12.675383,0.010309,0.000000
61,2.140153,0.681544,2792,1304,9.218144,9.597526,11.135914,0.000000,0.020408
62,2.140153,0.681544,2792,1304,9.217984,8.018957,10.907338,0.020408,0.010309
63,2.140153,0.681544,2792,1304,9.216512,9.259166,10.747727,0.010309,0.063158
64,2.176727,0.685211,2807,1289,9.212416,8.141698,9.456293,0.063158,0.000000
65,2.176727,0.685211,2807,1289,9.217760,9.256159,10.744518,0.000000,0.000000
66,2.176727,0.685211,2807,1289,9.216672,9.216043,11.438679,0.000000,0.000000
67,2.176727,0.685211,2807,1289,9.213856,9.228472,11.595317,0.000000,0.000000
68,2.176727,0.685211,2807,1289,9.215840,9.398446,10.997191,0.000000,0.010417
69,2.176727,0.685211,2807,1289,9.212576,9.171460,10.636678,0.010417,0.020833
70,2.176727,0.685211,2807,1289,9.216192,9.574115,11.121046,0.020833,0.000000
71,2.176727,0.685211,2807,1289,9.211296,9.234552,11.193867,0.000000,0.010417
72,2.176727,0.685211,2807,1289,9.216192,8.928717,11.756650,0.010417,0.000000
73,2.176727,0.685211,2807,1289,9.217280,9.206622,11.148161,0.000000,0.000000
74,2.176727,0.685211,2807,1289,9.212832,9.254354,11.280819,0.000000,0.020408
75,2.176727,0.685211,2807,1289,9.214112,8.468576,11.326672,0.020408,0.000000
76,2.176727,0.685211,2807,1289,9.217280,9.132445,10.631732,0.000000,0.000000
77,2.176727,0.685211,2807,1289,9.217248,9.181239,10.736657,0.000000,0.000000
78,2.176727,0.685211,2807,1289,9.212768,8.076609,11.222527,0.000000,0.000000
79,2.176727,0.685211,2807,1289,9.213152,9.241656,10.825494,0.000000,0.040816
80,2.176727,0.685211,2807,1289,9.213760,8.848831,11.210604,0.040816,0.000000
81,2.176727,0.685211,2807,1289,9.217920,9.703154,11.344911,0.000000,0.000000
82,2.176727,0.685211,2807,1289,9.214400,9.225195,10.689832,0.000000,0.000000
83,2.176727,0.685211,2807,1289,9.218528,9.848093,11.812740,0.000000,0.000000
84,2.176727,0.685211,2807,1289,9.215488,7.948402,10.885685,0.000000,0.000000
85,2.176727,0.685211,2807,1289,9.218752,9.567984,11.103470,0.000000,0.000000
86,2.176727,0.685211,2807,1289,9.216992,9.290975,10.860130,0.000000,0.000000
87,2.176727,0.685211,2807,1289,9.216128,9.257912,10.856494,0.000000,0.000000
88,2.176727,0.685211,2807,1289,9.218336,9.271967,10.772869,0.000000,0.010309
89,2.176727,0.685211,2807,1289,9.216352,10.089105,11.708382,0.010309,0.114583
90,2.254053,0.692691,2837,1259,9.390816,9.878094,11.442079,0.114583,0.051020
91,2.254053,0.692691,2837,1259,9.386752,8.647906,11.500268,0.051020,0.000000
92,2.254053,0.692691,2837,1259,9.389536,8.949952,10.394986,0.000000,0.020408
93,2.254053,0.692691,2837,1259,9.391264,8.895206,11.445921,0.020408,0.010309
94,2.254053,0.692691,2837,1259,9.387328,8.956519,11.377031,0.010309,0.000000
95,2.254053,0.692691,2837,1259,9.388864,8.994945,11.327365,0.000000,0.000000
96,2.254053,0.692691,2837,1259,9.390144,8.760984,11.274548,0.000000,0.010526
97,2.254053,0.692691,2837,1259,9.393344,10.195244,11.901880,0.010526,0.010417
98,2.254053,0.692691,2837,1259,9.390016,9.778828,11.332031,0.010417,0.010417
99,2.254053,0.692691,2837,1259,9.390432,9.187076,10.747874,0.010417,0.000000
